Symbol,Close Price,Band,Margin,Tradable
KSCL,1194.6,20,5,Yes
RELIGARE,257.11,20,5,Yes
ADANIPORTS,1408.2,No Band,5,Yes
EDELWEISS,116.1,20,5,Yes
JYOTHYLAB,324.95,20,5,Yes
ECLERX,4374.8,20,5,Yes
TARIL,523.35,20,5,Yes
BRIGADE,952.6,20,5,Yes
RPOWER,47.93,5,5,No
JKIL,637.6,20,5,Yes
KNRCON,194.72,20,5,Yes
IRB,43.41,20,5,Yes
VGUARD,372.85,20,5,Yes
RECLTD,380.5,No Band,5,Yes
TITAGARH,938.75,No Band,5,Yes
JAIBALAJI,101.8,20,5,Yes
BAJAJ-AUTO,9072.5,No Band,5,Yes
BAJAJFINSV,2080.3,No Band,5,Yes
ZFCVINDIA,13732,20,5,Yes
ISGEC,980.3,20,5,Yes
MHRIL,356.05,20,5,Yes
ADANIPOWER,637.35,20,5,Yes
NHPC,88.61,No Band,5,Yes
OIL,398.85,No Band,5,Yes
RTNPOWER,12.25,20,5,Yes
JSWENERGY,540.05,No Band,5,Yes
GODREJPROP,2061,No Band,5,Yes
JUBLFOOD,632.95,No Band,5,Yes
THANGAMAYL,2147.2,20,5,Yes
DBREALTY,167.57,20,5,Yes
MANINFRA,158.45,20,5,Yes
PERSISTENT,5490.5,No Band,5,Yes
SJVN,94.46,20,5,Yes
GPPL,161.41,20,5,Yes
WABAG,1559.7,20,5,Yes
ASHOKA,191.74,20,5,Yes
JWL,342.05,20,5,Yes
OBEROIRLTY,1643,No Band,5,Yes
PRESTIGE,1625.2,No Band,5,Yes
COALINDIA,395.8,No Band,5,Yes
GRAVITA,1656.4,20,5,Yes
MOIL,355.4,20,5,Yes
KIRLOSENG,931.2,20,5,Yes
PSB,29.81,20,5,Yes
DALBHARAT,2427.9,No Band,5,Yes
TEXRAIL,148.68,20,5,Yes
ZENTEC,1470.6,5,5,No
MUTHOOTFIN,2988.4,No Band,5,Yes
LTF,241.03,No Band,5,Yes
TDPOWERSYS,543.95,20,5,Yes
APLLTD,971.1,20,5,Yes
PGEL,569.9,No Band,5,Yes
TRITURBINE,539.85,20,5,Yes
APLAPOLLO,1697.6,No Band,5,Yes
RHIM,479.45,20,5,Yes
MCX,7645.5,No Band,5,Yes
SCHNEIDER,907.2,5,5,No
EQUITASBNK,56.11,20,5,Yes
NBCC,109.59,No Band,5,Yes
GLAND,2021.8,20,5,Yes
RTNINDIA,56.94,20,5,Yes
TARC,161.95,20,5,Yes
BECTORFOOD,1373.3,20,5,Yes
IRFC,128.96,No Band,5,Yes
INDIGOPNTS,1135.3,20,5,Yes
HOMEFIRST,1295.6,20,5,Yes
CARERATING,1621.6,20,5,Yes
