Symbol,Close Price,Band,Margin,Tradable
FINEORG,4833.2,20,5,Yes
RITES,275.14,20,5,Yes
VARROC,631.15,20,5,Yes
HDFCAMC,5779.5,No Band,5,Yes
CREDITACC,1323.6,20,5,Yes
BHARTIHEXA,1736.2,20,5,Yes
IRCON,185.21,20,5,Yes
KRBL,403.85,20,5,Yes
SKYGOLD,289.75,20,5,Yes
MANORAMA,1399.5,20,5,Yes
AAVAS,1661,20,5,Yes
GRSE,2440.3,10,5,Yes
INDGN,572.9,20,5,Yes
AADHARHFC,537.8,10,5,Yes
TBOTEK,1595.1,20,5,Yes
ATGL,605.85,20,5,Yes
GODIGIT,351.7,20,5,Yes
IOC,144.98,No Band,5,Yes
TECHNOE,1445.1,20,5,Yes
IXIGO,272.9,20,5,Yes
BALUFORGE,668.15,5,5,No
EMAMILTD,603.15,20,5,Yes
ABDL,551.9,10,5,Yes
EMCURE,1360.4,10,5,Yes
BANSALWIRE,352.55,10,5,Yes
MANAPPURAM,296.1,No Band,5,Yes
AKUMS,475,10,5,Yes
ZYDUSWELL,2621.3,20,5,Yes
OLAELEC,60.14,5,5,No
CONCOR,564.15,No Band,5,Yes
